NAME,ETHNICITY,SEX,LOC,ETHNICITY_RECAT,ETHNICITY_RECAT_V2,ETHNICITY_RECAT_V3,ETHNICITY_RECAT_V4
Aggie Shawl,rus,Female,"I, Digby, Nova Scotia, Canada",rus,rus,rus,rus
Jan E Heather,en,Female,"A, Toronto (centre) (city/cité), Ontario, Canada",en,en,en,en
Harry Evans,sc,Female,"A, Renfrew (south/sud), Ontario, Canada",sc,sc,sc,sc
Albert Robert,ab,Female,"H, Wellington (centre), Ontario, Canada",ab,,,
Arthur Happelle,others,Male,"A, Middlesex (south/sud), Ontario, Canada",others,others,others,others
Lolyne Lesard,sc,Male,"A, Ontario (west/ouest), Ontario, Canada",sc,sc,sc,sc
Susie Allan,sc,Male,"E, Elgin (east/est), Ontario, Canada",sc,sc,sc,sc
Mathilde Guindon,ch,Female,"J, Simcoe (east/est), Ontario, Canada",ch,ch,ch,ch
Napoléon Rhéaume,ch,Male,"J, Prince (east/est), Prince Edward Island, Canada",ch,ch,ch,ch
Gordon Tooley,rus,Female,"C, Bothwell, Ontario, Canada",rus,rus,rus,rus
Robt German,ir,Female,"E, Prince (east/est), Prince Edward Island, Canada",ir,ir,ir,ir
Elzear Poulet,it,Male,"R, Yarmouth, Nova Scotia, Canada",it,it,it,it
Alexand Leblanc,sc,Male,"E2, Assiniboia (east/est), The Territories, Canada",sc,sc,sc,sc
Mariane Dufresne,ab,Female,"D, Saint John (city/cité), New Brunswick, Canada",ab,fn,fn,fn
Mathew Shackelton,ja,Male,"A, Montréal (city/cité), Quebec, Canada",ja,ja,ja,ja
Rose Barbeau,ja,Female,"J, Brome, Quebec, Canada",ja,ja,ja,ja
Catherine Mcdonald,ja,Female,"A, Toronto (centre) (city/cité), Ontario, Canada",ja,ja,ja,ja
Lena Rajiskie,sc,Female,"H, Grey (east/est), Ontario, Canada",sc,sc,sc,sc
Lekel Kelly,en,Male,"H, Annapolis, Nova Scotia, Canada",en,en,en,en
Delia Laplante,rus,Female,"K, Lévis, Quebec, Canada",rus,rus,rus,rus
George L Bent,en,Male,"F, York (west/ouest), Ontario, Canada",en,en,en,en
John Dick,sc,Female,"G, Halton, Ontario, Canada",sc,sc,sc,sc
Arthur G. Keay,ir,Male,"R, Inverness, Nova Scotia, Canada",ir,ir,ir,ir
Russell Mitchell,fr,Female,"M3, Algoma, Ontario, Canada",fr,fr,fr,fr
Azile Melanson,it,Female,"G, Norfolk (north/nord), Ontario, Canada",it,it,it,it
Burton Gray,en,Male,"C, Victoria (north/nord), Ontario, Canada",en,en,en,en
Yvonne Duval,ja,Female,"G, Frontenac, Ontario, Canada",ja,ja,ja,ja
Allan A Mctavish,fr,Male,"C, Lévis, Quebec, Canada",fr,fr,fr,fr
Lawrence Dornon,ir,Male,"Q, Lotbinière, Quebec, Canada",ir,ir,ir,ir
Margret Riach,fr,Female,"B, Victoria (south/sud), Ontario, Canada",fr,fr,fr,fr
Emil Carlson,ab,Female,"C, Ottawa (city/cité), Ontario, Canada",ab,,,
Stanley Weatherhead,ja,Male,"D, Simcoe (north/nord), Ontario, Canada",ja,ja,ja,ja
Elzeare Patras,ab,Male,"E, Macdonald, Manitoba, Canada",ab,metis,metis,metis
Anriette Gallant,ch,Female,"A, Montmagny, Quebec, Canada",ch,ch,ch,ch
Mary Dearborn,others,Male,"M, Beauce, Quebec, Canada",others,others,others,others
Joseph Aubert,en,Female,"L, Prince (east/est), Prince Edward Island, Canada",en,en,en,en
Omer Daigle,ir,Female,"M, Gaspé, Quebec, Canada",ir,ir,ir,ir
Arselia Vien,ir,Male,"X, Temiscouata, Quebec, Canada",ir,ir,ir,ir
Francis J Manahan,sc,Female,"A, Kent, Ontario, Canada",sc,sc,sc,sc
Frank Pearson,sc,Female,"B, Oxford (south/sud), Ontario, Canada",sc,sc,sc,sc
Holt Winnifred Brailey,ja,Male,"A, Toronto (centre) (city/cité), Ontario, Canada",ja,ja,ja,ja
Marie Perrault,ch,Female,"G, Perth (north/nord), Ontario, Canada",ch,ch,ch,ch
Mary Mckewrn,ch,Female,"B, Maisonneuve, Quebec, Canada",ch,ch,ch,ch
Gertrude Neely,sc,Female,"C, Kamouraska, Quebec, Canada",sc,sc,sc,sc
Joseph Perras,it,Female,"E, Kings, New Brunswick, Canada",it,it,it,it
Annie L Malone,en,Male,"G, Welland, Ontario, Canada",en,en,en,en
Elizabeth Davicon,it,Female,"H, Champlain, Quebec, Canada",it,it,it,it
John W Hope,sc,Male,"O, Saint-jean & Iberville, Quebec, Canada",sc,sc,sc,sc
Aurore Hurteau,ir,Male,"A, Québec (county/comté), Quebec, Canada",ir,ir,ir,ir
Aimé Chicoine,rus,Female,"F, Ontario (south/sud), Ontario, Canada",rus,rus,rus,rus
Joseph Couture,sc,Male,"C, Bruce (east/est), Ontario, Canada",sc,sc,sc,sc
Elizabeth Cuthbert,en,Male,"N, Kamouraska, Quebec, Canada",en,en,en,en
Elva Ruthford,ab,Male,"J, Selkirk, Manitoba, Canada",ab,inuit,inuit,inuit
Venton Pyke,ch,Female,"E, Kings, Nova Scotia, Canada",ch,ch,ch,ch
Josef Knouruk,ir,Male,"G, York (west/ouest), Ontario, Canada",ir,ir,ir,ir
Wm W Young,fr,Male,"H, Cape Breton, Nova Scotia, Canada",fr,fr,fr,fr
Winifred Ainsworth,ab,Male,"G, Hamilton (city/cité), Ontario, Canada",ab,inuit,inuit,inuit
Neil Mcauley,it,Male,"E, Leeds & Grenville (north/nord), Ontario, Canada",it,it,it,it
Emile Pelchat,ch,Female,"Q, Sunbury & Queens, New Brunswick, Canada",ch,ch,ch,ch
Alfred Trudel,ir,Male,"G, Prince Edward, Ontario, Canada",ir,ir,ir,ir
Omer J Howard,it,Female,"E, Middlesex (west/ouest), Ontario, Canada",it,it,it,it
Arthur Griffin,rus,Female,"S, Yarmouth, Nova Scotia, Canada",rus,rus,rus,rus
Jacob Swertfeau,ch,Male,"H, Essex (north/nord), Ontario, Canada",ch,ch,ch,ch
Rodrigue Toupin,ab,Male,"D, Trois-rivières & Saint-maurice, Quebec, Canada",ab,,,
Nortonstepa Oconnell,rus,Male,"G, Châteauguay, Quebec, Canada",rus,rus,rus,rus
Harold Gilman,it,Female,"N, Trois-rivières & Saint-maurice, Quebec, Canada",it,it,it,it
Alice Matteau,others,Male,"I, Pictou, Nova Scotia, Canada",others,others,others,others
Clora Jardine,ir,Male,"D, Chambly & Verchères, Quebec, Canada",ir,ir,ir,ir
Antoinette Perreault,ab,Female,"E, York (west/ouest), Ontario, Canada",ab,inuit,inuit,inuit
Alberton Grayley,ir,Female,"A, Toronto (centre) (city/cité), Ontario, Canada",ir,ir,ir,ir
Eva Arsenault,ab,Female,"B, Hamilton (city/cité), Ontario, Canada",ab,inuit,inuit,inuit
William Waddington,ab,Male,"C, Provencher, Manitoba, Canada",ab,metis,metis,metis
Robert Parker,sc,Male,"H, Yale & Cariboo, British Columbia, Canada",sc,sc,sc,sc
Martha A Milks,sc,Male,"F, Huron (south/sud), Ontario, Canada",sc,sc,sc,sc
Wilhelmina Bossé,ja,Male,"A, Montréal (city/cité), Quebec, Canada",ja,ja,ja,ja
John W. Reveler,rus,Male,"W, Cape Breton, Nova Scotia, Canada",rus,rus,rus,rus
Jessie Burnett,en,Male,"C, Wentworth & Brant (north/nord), Ontario, Canada",en,en,en,en
H E Brown,fr,Male,"M, Renfrew (south/sud), Ontario, Canada",fr,fr,fr,fr
Willie Renaud,it,Female,"H, Waterloo (south/sud), Ontario, Canada",it,it,it,it
James P Leckie,en,Female,"B, Waterloo (south/sud), Ontario, Canada",en,en,en,en
Chas E Musgrave,ja,Female,"C, Prescott, Ontario, Canada",ja,ja,ja,ja
Armand Deschamp,ir,Female,"F, York (west/ouest), Ontario, Canada",ir,ir,ir,ir
Josephine Ballien,others,Female,"D, Gaspé, Quebec, Canada",others,others,others,others
James H Steele,others,Male,"S, Shelburne & Queens (queens), Nova Scotia, Canada",others,others,others,others
F. J. Ecker,sc,Male,"B, Maisonneuve, Quebec, Canada",sc,sc,sc,sc
Florence E Scott,ab,Male,"B, Labelle, Quebec, Canada",ab,metis,metis,metis
Lizzie Coyles,fr,Male,"L, Beauce, Quebec, Canada",fr,fr,fr,fr
Anna Joy,ch,Male,"C, Soulanges, Quebec, Canada",ch,ch,ch,ch
Louisa Bowlby,sc,Male,"C, Champlain, Quebec, Canada",sc,sc,sc,sc
Mary A Mcintyre,ch,Female,"N, Haldimand & Monck, Ontario, Canada",ch,ch,ch,ch
Mary Mcginnes,en,Female,"E, Wentworth (south/sud), Ontario, Canada",en,en,en,en
Annie Owen,fr,Male,"H, Macdonald, Manitoba, Canada",fr,fr,fr,fr
Fredrick Hale,fr,Male,"C, Sherbrooke, Quebec, Canada",fr,fr,fr,fr
Winnifred A Hazen,ab,Female,"D, Gaspé, Quebec, Canada",ab,fn,fn,fn
Merie Demveule,fr,Male,"A, Simcoe (north/nord), Ontario, Canada",fr,fr,fr,fr
Nellie Hart,en,Male,"G, Oxford (north/nord), Ontario, Canada",en,en,en,en
Thomas Barr,rus,Female,"D, Russell, Ontario, Canada",rus,rus,rus,rus
Sidney Curry,ab,Male,"A, Québec (city/cité) (east/est), Quebec, Canada",ab,metis,metis,metis
Hermonie Tainier,it,Male,"F, Russell, Ontario, Canada",it,it,it,it
Sarah Patterson,ja,Female,"A, Montréal (city/cité), Quebec, Canada",ja,ja,ja,ja
Adèlard Tétreault,ja,Male,"E, Beauce, Quebec, Canada",ja,ja,ja,ja
Aldophe Ducharme,sc,Male,"C, Northumberland (east/est), Ontario, Canada",sc,sc,sc,sc
Lide Keny,ab,Female,"K, Renfrew (south/sud), Ontario, Canada",ab,inuit,inuit,inuit
Henhanhota,ab,Male,"G(1), Cumberland, Nova Scotia, Canada",ab,inuit,inuit,inuit
Emma Bernier,sc,Female,"H, York (west/ouest), Ontario, Canada",sc,sc,sc,sc
Ivan Danis,fr,Female,"K, Gaspé, Quebec, Canada",fr,fr,fr,fr
Isac J Frost,fr,Male,"T, Colchester, Nova Scotia, Canada",fr,fr,fr,fr
George Downing,rus,Male,"B, Kingston (city/cité), Ontario, Canada",rus,rus,rus,rus
Alexander Lumsden,ab,Male,"C, Québec (city/cité) (centre), Quebec, Canada",ab,metis,metis,metis
Omen Beardy,fr,Male,"W, Lunenburg, Nova Scotia, Canada",fr,fr,fr,fr
John Mcintosh,en,Male,"J, Wellington (north/nord), Ontario, Canada",en,en,en,en
Credie Stanlake,it,Female,"F, Leeds & Grenville (north/nord), Ontario, Canada",it,it,it,it
Katherine Easterbrook,ab,Male,"F2, Alberta, The Territories, Canada",ab,,,
